ORGANIZATION_NAME,SHELTER_GROUP,LOCATION_NAME,OVERNIGHT_SERVICE_TYPE,SERVICE_USER_COUNT,CAPACITY_TYPE,CAPACITY_ACTUAL_BED,CAPACITY_FUNDING_BED,OCCUPIED_BEDS,UNOCCUPIED_BEDS,UNAVAILABLE_BEDS,OCCUPIED_ROOMS,UNOCCUPIED_ROOMS,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,23,Bed Based Capacity,25,25,23,2,0,,,92,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,4,Bed Based Capacity,5,5,4,1,0,,,80,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,47,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,53,Bed Based Capacity,53,53,53,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,108,Bed Based Capacity,110,112,108,2,2,,,98.18,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,56,Bed Based Capacity,56,57,56,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,59,Bed Based Capacity,59,60,59,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,53,Room Based Capacity,,,,,,53,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,381,Room Based Capacity,,,,,,321,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,192,Room Based Capacity,,,,,,98,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,67,Bed Based Capacity,67,69,67,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,49,Bed Based Capacity,49,49,49,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,100,Bed Based Capacity,100,100,100,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,178,Bed Based Capacity,178,180,178,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,75,Bed Based Capacity,75,75,75,0,0,,,100,
Horizon for Youth,Horizons for Youth,Horizons for Youth,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,24-Hour Respite Site,30,Bed Based Capacity,30,30,30,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,Shelter,16,Bed Based Capacity,17,17,16,1,0,,,94.12,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family Services Toronto,Shelter,8,Bed Based Capacity,12,12,8,4,0,,,66.67,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family - Spadina,Shelter,12,Bed Based Capacity,15,15,12,3,0,,,80,
Society of St.Vincent De Paul,SVDP - Amelie House,SVDP Amelie House,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Elisa House,SVDP Elisa House,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Mary's Home,SVDP Mary's Home,Shelter,32,Bed Based Capacity,32,32,32,0,0,,,100,
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,SVDP St. Clare's Residence,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 25 Augusta Ave. Respite ,24-Hour Respite Site,19,Bed Based Capacity,19,22,19,0,3,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 69 Fraser Ave. Respite ,24-Hour Respite Site,52,Bed Based Capacity,52,52,52,0,0,,,100,
St. Simon's Shelter Inc.,St. Simon's Shelter,St. Simon's Clubbe House,Motel/Hotel Shelter,29,Room Based Capacity,,,,,,29,0,,100
Street Haven At The Crossroads,Street Haven,Street Haven,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Street Haven At The Crossroads,Street Haven,Street Haven Downtown Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,33,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Hotel Program,Shelter,223,Room Based Capacity,,,,,,76,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,75,Room Based Capacity,,,,,,25,0,,100
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,31,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,129,Room Based Capacity,,,,,,129,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,245,Bed Based Capacity,245,245,245,0,0,,,100,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,57,Room Based Capacity,,,,,,36,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,43,Bed Based Capacity,43,43,43,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,11,Room Based Capacity,,,,,,4,0,,100
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,47,Bed Based Capacity,49,49,47,2,0,,,95.92,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,84,Room Based Capacity,,,,,,26,0,,100
YMCA of Greater Toronto,YMCA House,Downtown Hotel Program - York,Motel/Hotel Shelter,34,Room Based Capacity,,,,,,28,0,,100
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,11,Bed Based Capacity,15,15,11,4,0,,,73.33,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,37,Bed Based Capacity,37,40,37,0,3,,,100,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,620,Room Based Capacity,,,,,,146,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,112,Room Based Capacity,,,,,,58,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Reception Centre,Shelter,1,Bed Based Capacity,8,8,1,7,0,,,12.5,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,1,Room Based Capacity,,,,,,1,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,210,Room Based Capacity,,,,,,67,0,,100
COSTI Immigrant Services,COSTI Reception Centre,COSTI Uptown Hotel Program,Motel/Hotel Shelter,514,Room Based Capacity,,,,,,160,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Etobicoke Hotel Program,Motel/Hotel Shelter,154,Room Based Capacity,,,,,,146,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC West End Hotel Program,Motel/Hotel Shelter,40,Room Based Capacity,,,,,,40,0,,100
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Lansdowne Ave,Shelter,39,Bed Based Capacity,39,39,39,0,0,,,100,
Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,CONC Men's Shelter Bloor St W,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,Shelter,72,Room Based Capacity,,,,,,30,0,,100
City of Toronto,Birkdale Residence,SSHA Birkdale Residence,Shelter,223,Room Based Capacity,,,,,,64,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,22,Room Based Capacity,,,,,,12,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,82,Room Based Capacity,,,,,,82,1,,98.8
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,28,Room Based Capacity,,,,,,14,0,,100
City of Toronto,Birkdale Residence,SSHA North York West Hotel Program,Motel/Hotel Shelter,77,Room Based Capacity,,,,,,77,0,,100
City of Toronto,Downsview Dells,SSHA Downsview Dells,Shelter,17,Bed Based Capacity,18,18,17,1,0,,,94.44,
City of Toronto,Expansion  Sites,SSHA Roehampton Hotel Program,Motel/Hotel Shelter,117,Room Based Capacity,,,,,,70,0,,100
City of Toronto,Expansion  Sites,Scarborough Women's Shelter - Milner,Motel/Hotel Shelter,103,Room Based Capacity,,,,,,103,0,,100
City of Toronto,Family Residence,SSHA Family Residence,Shelter,156,Room Based Capacity,,,,,,47,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,112,Room Based Capacity,,,,,,43,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 3,Motel/Hotel Shelter,6,Room Based Capacity,,,,,,6,0,,100
City of Toronto,Family Residence,SSHA Scarborough Hotel Program 4,Motel/Hotel Shelter,55,Room Based Capacity,,,,,,20,0,,100
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,41,Bed Based Capacity,42,52,41,1,10,,,97.62,
City of Toronto,Fort York Residence,SSHA North Hotel Program,Motel/Hotel Shelter,71,Room Based Capacity,,,,,,67,1,,98.53
City of Toronto,Fort York Residence,SSHA Fort York Residence,Shelter,45,Bed Based Capacity,46,46,45,1,0,,,97.83,
City of Toronto,Progress Shelter,Progress Avenue Shelter,Shelter,92,Bed Based Capacity,92,92,92,0,0,,,100,
City of Toronto,Robertson House,Robertson House,Shelter,86,Room Based Capacity,,,,,,32,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Motel/Hotel Shelter,166,Room Based Capacity,,,,,,142,0,,100
City of Toronto,SSHA Etobicoke Hotel Program,SSHA Etobicoke Hotel Program,Isolation/Recovery Site,1,Room Based Capacity,,,,,,1,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Hotel Program 1,Motel/Hotel Shelter,48,Room Based Capacity,,,,,,24,0,,100
City of Toronto,Scarborough Village Residence,SSHA Scarborough Village Residence,Shelter,93,Bed Based Capacity,93,93,93,0,0,,,100,
City of Toronto,Seaton House,SSHA Junction Place,Shelter,62,Bed Based Capacity,62,62,62,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,48,Bed Based Capacity,51,51,48,3,0,,,94.12,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,81,Bed Based Capacity,81,81,81,0,0,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,20,Bed Based Capacity,22,22,20,2,0,,,90.91,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,5,Bed Based Capacity,5,10,5,0,5,,,100,
City of Toronto,Seaton House,SSHA Downtown Response Program,Shelter,53,Bed Based Capacity,53,60,53,0,7,,,100,
City of Toronto,Seaton House,SSHA Seaton House,Shelter,72,Bed Based Capacity,72,72,72,0,0,,,100,
City of Toronto,Streets To Homes,Streets to Homes Assessment and Referral Centre (SHARC),Shelter,29,Bed Based Capacity,30,30,29,1,0,,,96.67,
City of Toronto,Women's Residence,SSHA Downtown Hotel Program,Motel/Hotel Shelter,68,Room Based Capacity,,,,,,63,2,,96.92
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,6,Bed Based Capacity,6,11,6,0,5,,,100,
City of Toronto,Women's Residence,SSHA Womens' Residence,Shelter,79,Bed Based Capacity,79,85,79,0,6,,,100,
Cornerstone Place,Cornerstone Place,Cornerstone Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,1,Bed Based Capacity,2,2,1,1,0,,,50,
Covenant House Toronto,Covenant House,Downtown Hotel Program - York,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,39,0,,100
Covenant House Toronto,Covenant House,Covenant House Gerrard St E,Shelter,60,Bed Based Capacity,60,62,60,0,2,,,100,
Covenant House Toronto,Covenant House,Covenant House McGill St,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Dixon Hall,351 Lakeshore Respite Services,Dixon Hall 351 Lake Shore Blvd E Respite,24-Hour Respite Site,60,Bed Based Capacity,60,60,60,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall 354 George St,24-Hour Respite Site,50,Bed Based Capacity,50,50,50,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Bond Place Hotel Program,Motel/Hotel Shelter,113,Room Based Capacity,,,,,,107,0,,100
Dixon Hall,Dixon Hall - Heyworth House,Dixon Hall Heyworth House,Shelter,53,Bed Based Capacity,53,53,53,0,0,,,100,
Dixon Hall,Dixon Hall - Heyworth House,Downtown Hotel Program - York,Motel/Hotel Shelter,78,Room Based Capacity,,,,,,78,1,,98.73
Dixon Hall,Dixon Hall - Schoolhouse,Dixon Hall Schoolhouse,Shelter,24,Bed Based Capacity,24,26,24,0,2,,,100,
Eva's Initiatives,Eva's Phoenix,Eva's Phoenix,Shelter,48,Bed Based Capacity,50,50,48,2,0,,,96,
Eva's Initiatives,Eva's Place,Eva's Place,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Eva's Initiatives,Eva's Place,Downtown Hotel Program - York,Motel/Hotel Shelter,24,Room Based Capacity,,,,,,24,0,,100
Fife House Foundation,Fife House Transitional Program,Fife House Denison Ave,Shelter,5,Bed Based Capacity,5,5,5,0,0,,,100,
Fife House Foundation,Fife House Transitional Program,Fife House Sherbourne St,Shelter,8,Bed Based Capacity,10,11,8,2,1,,,80,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Centre Transition to Housing Dundas St E,Shelter,36,Bed Based Capacity,37,37,36,1,0,,,97.3,
Fred Victor Centre,FV Women's Transition to Housing,Fred Victor Mary Sheffield House,Shelter,25,Bed Based Capacity,25,26,25,0,1,,,100,
Fred Victor Centre,Fred Victor Women's Hostel,Adelaide Resource Centre for Women,24-Hour Women's Drop-in,52,Bed Based Capacity,52,52,52,0,0,,,100,
Fred Victor Centre,Fred Victor Women's Hostel,Fred Victor Centre Fatima House,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Centre Bethlehem United Shelter,Shelter,69,Bed Based Capacity,69,70,69,0,1,,,100,
Fred Victor Centre,"Fred Victor, BUS",Fred Victor Uptown Hotel Program,Motel/Hotel Shelter,278,Room Based Capacity,,,,,,259,0,,100
Fred Victor Centre,Fred Victor-Better Living Centre,Fred Victor Centre 1A Strachan Ave Respite,24-Hour Respite Site,53,Bed Based Capacity,55,58,53,2,3,,,96.36,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,6,Bed Based Capacity,6,5,6,0,-1,,,100,
Friends of Ruby,Friends of Ruby,Friends of Ruby  ,Shelter,24,Bed Based Capacity,26,28,24,2,2,,,92.31,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,23,Bed Based Capacity,25,25,23,2,0,,,92,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre Barrett House,Shelter,4,Bed Based Capacity,5,5,4,1,0,,,80,
Good Shepherd Ministries,Good Shepherd Centre,Good Shepherd Centre West End Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,47,0,,100
Homes First Society,HFS - Kennedy Shelter,HFS Kennedy Rd Women's Shelter,Shelter,53,Bed Based Capacity,53,53,53,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,108,Bed Based Capacity,110,112,108,2,2,,,98.18,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,Shelter,56,Bed Based Capacity,56,57,56,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS 545 Lake Shore Blvd W Shelter,24-Hour Respite Site,59,Bed Based Capacity,59,60,59,0,1,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Lawrence East Shelter,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,53,Room Based Capacity,,,,,,53,0,,100
Homes First Society,HFS - Scarborough Shelter,Multiple Youth & Adult Agencies Scarborough Hotel Program,Motel/Hotel Shelter,381,Room Based Capacity,,,,,,321,0,,100
Homes First Society,HFS - Scarborough Shelter,HFS - Metro Strachan,Motel/Hotel Shelter,193,Room Based Capacity,,,,,,98,0,,100
Homes First Society,HFS - Scarborough Shelter,Homes First Society - Pacewood,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Placer,Shelter,67,Bed Based Capacity,67,69,67,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS St. Clair Ave E Shelter,Shelter,49,Bed Based Capacity,49,49,49,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,100,Bed Based Capacity,100,100,100,0,0,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,178,Bed Based Capacity,178,180,178,0,2,,,100,
Homes First Society,HFS - Scarborough Shelter,HFS Willowdale Centre,Shelter,75,Bed Based Capacity,75,75,75,0,0,,,100,
Horizon for Youth,Horizons for Youth,Horizons for Youth,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
Kennedy House Youth Services,Kennedy House Youth Shelter,Kennedy House Youth Shelter,Shelter,23,Bed Based Capacity,23,23,23,0,0,,,100,
Margaret's Housing and Community Support Services,Margaret's Toronto East Drop-In,Margaret's 21 Park Rd Respite ,24-Hour Respite Site,30,Bed Based Capacity,30,30,30,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Na-Me-Res,Shelter,50,Bed Based Capacity,50,50,50,0,0,,,100,
Na-Me-Res (Native Men's Residence),Na-Me-Res,Sagatay ,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family Services Toronto,Shelter,8,Bed Based Capacity,12,12,8,4,0,,,66.67,
Native Child & Family Services Toronto,Eagles Nest Transition House,Native Child & Family - Spadina,Shelter,12,Bed Based Capacity,15,15,12,3,0,,,80,
Society of St.Vincent De Paul,SVDP - Amelie House,SVDP Amelie House,Shelter,17,Bed Based Capacity,17,17,17,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Elisa House,SVDP Elisa House,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Society of St.Vincent De Paul,SVDP - Mary's Home,SVDP Mary's Home,Shelter,32,Bed Based Capacity,32,32,32,0,0,,,100,
Society of St.Vincent De Paul,SVDP - St. Clare's Residence,SVDP St. Clare's Residence,Shelter,30,Bed Based Capacity,30,30,30,0,0,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 25 Augusta Ave. Respite ,24-Hour Respite Site,19,Bed Based Capacity,19,22,19,0,3,,,100,
St. Felix Social Ministries Outreach,St. Felix Centre,St. Felix Centre 69 Fraser Ave. Respite ,24-Hour Respite Site,52,Bed Based Capacity,52,52,52,0,0,,,100,
St. Simon's Shelter Inc.,St. Simon's Shelter,St. Simon's Clubbe House,Motel/Hotel Shelter,29,Room Based Capacity,,,,,,29,0,,100
Street Haven At The Crossroads,Street Haven,Street Haven,Shelter,28,Bed Based Capacity,28,28,28,0,0,,,100,
Street Haven At The Crossroads,Street Haven,Street Haven Downtown Hotel Program,Motel/Hotel Shelter,47,Room Based Capacity,,,,,,33,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Hotel Program,Shelter,223,Room Based Capacity,,,,,,76,0,,100
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The MUC Shelter Corporation,Sojourn House,Sojourn House Ontario St,Shelter,75,Room Based Capacity,,,,,,25,0,,100
The Salvation Army of Canada,Salvation Army - Evangeline Res,SA Evangeline Residence,Shelter,76,Bed Based Capacity,76,76,76,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Florence Booth,Etobicoke Hotel Site 1,Motel/Hotel Shelter,39,Room Based Capacity,,,,,,31,0,,100
The Salvation Army of Canada,Salvation Army - Gateway,SA Gateway,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,SA Scarborough Hotel Program,Motel/Hotel Shelter,129,Room Based Capacity,,,,,,129,0,,100
The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Maxwell Meighen Centre,Shelter,245,Bed Based Capacity,245,245,245,0,0,,,100,
The Salvation Army of Canada,Salvation Army - New Hope Leslie,Etobicoke Hotel Site 1,Motel/Hotel Shelter,59,Room Based Capacity,,,,,,37,0,,100
The Salvation Army of Canada,Salvation Army - New Hope Leslie,SA New Hope Leslieville,Shelter,43,Bed Based Capacity,43,43,43,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,46,Bed Based Capacity,46,46,46,0,0,,,100,
The Salvation Army of Canada,Salvation Army Islington Seniors,SA Islington Seniors' Shelter,Shelter,37,Bed Based Capacity,37,37,37,0,0,,,100,
The Scott Mission Inc.,Scott Mission Men's Ministry,The Scott Mission - Kensington location,Shelter,66,Bed Based Capacity,66,66,66,0,0,,,100,
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,11,Room Based Capacity,,,,,,4,0,,100
Toronto Community Hostel,Toronto Community Hostel,Toronto Community Hostel (MUC),Shelter,6,Bed Based Capacity,6,6,6,0,0,,,100,
Turning Point Youth Services,Turning Point Youth Services,Turning Point Youth Services ,Shelter,18,Bed Based Capacity,18,18,18,0,0,,,100,
Warden Woods Community Centre,Scarborough Cold Weather Drop-IN,Warden Woods 705 Progress Ave Respite ,24-Hour Respite Site,47,Bed Based Capacity,49,49,47,2,0,,,95.92,
Women's Hostels Inc.,Nellie's,,Shelter,12,Bed Based Capacity,12,12,12,0,0,,,100,
WoodGreen Red Door Family Shelter,Red Door Family Shelter,Red Door Family Shelter,Shelter,84,Room Based Capacity,,,,,,26,0,,100
YMCA of Greater Toronto,YMCA House,Downtown Hotel Program - York,Motel/Hotel Shelter,34,Room Based Capacity,,,,,,28,0,,100
YMCA of Greater Toronto,YMCA House,Vanauley Street YMCA Emergency Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YMCA of Greater Toronto,YMCA Sprott House,YMCA Sprott House ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,27,Bed Based Capacity,27,27,27,0,0,,,100,
YWCA Toronto,YWCA - First Stop Woodlawn,YWCA 1st Stop Woodlawn ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,20,Bed Based Capacity,20,20,20,0,0,,,100,
YWCA Toronto,YWCA-348 Davenport,YWCA Davenport Shelter,Shelter,21,Bed Based Capacity,21,21,21,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,25,Bed Based Capacity,25,25,25,0,0,,,100,
Youth Without Shelter,Youth Without Shelter,Youth Without Shelter ,Shelter,11,Bed Based Capacity,15,15,11,4,0,,,73.33,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,10,Bed Based Capacity,10,10,10,0,0,,,100,
YouthLink,YouthLink Shelter,YouthLink ,Shelter,36,Bed Based Capacity,37,40,36,1,3,,,97.3,
COSTI Immigrant Services,COSTI Reception Centre,COSTI Hotel Program Dixon,Motel/Hotel Shelter,625,Room Based Capacity,,,,,,147,0,,100
